Date,Category,Amount,Payment_Method,Note
2024-01-01,Rent,4239.74,UPI,Hostel fee
2024-01-07,Healthcare,730.63,Debit Card,Gym membership
2024-01-13,Food,207.32,Debit Card,Coffee
2024-01-17,Food,128.72,UPI,Coffee
2024-01-17,Shopping,1323.26,Cash,Footwear
2024-01-17,Entertainment,301.67,Credit Card,Gaming
2024-01-23,Education,504.23,UPI,Exam fee
2024-01-29,Healthcare,569.77,Debit Card,Doctor visit
2024-01-30,Entertainment,714.61,Cash,Movie ticket
2024-02-01,Education,2320.53,Cash,Books
2024-02-03,Education,1729.37,Cash,Books
2024-02-05,Transport,279.83,UPI,Ola cab
2024-02-05,Shopping,235.43,Debit Card,Stationery
2024-02-05,Entertainment,541.81,Credit Card,OTT subscription
2024-02-06,Entertainment,294.93,Debit Card,OTT subscription
2024-02-06,Entertainment,746.74,UPI,Gaming
2024-02-06,Food,166.28,Credit Card,Coffee
2024-02-07,Rent,4243.32,UPI,Hostel fee
2024-02-09,Healthcare,390.02,Credit Card,Gym membership
2024-02-10,Entertainment,706.54,Debit Card,Concert
2024-02-11,Education,2143.43,Credit Card,Exam fee
2024-02-11,Food,542.5,Credit Card,Coffee
2024-02-16,Education,2945.84,Cash,Study material
2024-02-24,Education,2901.97,Debit Card,Books
2024-02-25,Education,1364.22,Credit Card,Study material
2024-02-27,Shopping,2660.42,Credit Card,Footwear
2024-02-28,Entertainment,553.34,Credit Card,OTT subscription
2024-02-28,Rent,5841.18,UPI,PG charges
2024-02-29,Healthcare,308.92,Credit Card,Medicine
2024-03-02,Entertainment,505.24,Cash,Books
2024-03-02,Food,260.55,Debit Card,Dinner outside
2024-03-02,Utilities,391.54,Debit Card,Water bill
2024-03-03,Food,586.04,UPI,Groceries
2024-03-05,Rent,5008.38,UPI,PG charges
2024-03-05,Healthcare,116.0,Cash,Gym membership
2024-03-09,Rent,5002.73,Credit Card,PG charges
2024-03-17,Healthcare,173.51,UPI,Medicine
2024-03-22,Transport,171.54,Cash,Ola cab
2024-03-24,Utilities,1081.42,Cash,Internet bill
2024-03-24,Healthcare,206.74,Cash,Gym membership
2024-03-26,Healthcare,1359.96,Cash,Gym membership
2024-03-27,Transport,135.0,Credit Card,Auto rickshaw
2024-03-30,Transport,255.51,Debit Card,Metro card
2024-04-01,Transport,352.09,Credit Card,Metro card
2024-04-03,Healthcare,720.81,Cash,Vitamins
2024-04-03,Rent,3636.36,Credit Card,PG charges
2024-04-04,Food,211.29,Debit Card,Lunch at canteen
2024-04-07,Healthcare,365.67,Cash,Medicine
2024-04-08,Transport,46.96,UPI,Petrol
2024-04-08,Entertainment,475.4,UPI,Gaming
2024-04-08,Education,2162.32,Debit Card,Books
2024-04-11,Education,2633.34,Cash,Books
2024-04-14,Shopping,868.32,Debit Card,Footwear
2024-04-15,Education,1473.69,Cash,Study material
2024-04-18,Rent,3980.54,Debit Card,PG charges
2024-04-22,Utilities,1004.11,Debit Card,Electricity bill
2024-04-23,Entertainment,671.61,Debit Card,Concert
2024-04-24,Utilities,936.47,Cash,Mobile recharge
2024-04-26,Shopping,702.44,Cash,Home decor
2024-04-30,Healthcare,375.73,UPI,Doctor visit
2024-05-01,Utilities,606.41,Debit Card,Internet bill
2024-05-02,Utilities,751.99,UPI,Electricity bill
2024-05-03,Education,1721.44,UPI,Study material
2024-05-04,Rent,4653.8,Debit Card,Monthly rent
2024-05-05,Transport,133.2,Debit Card,Bus pass
2024-05-05,Education,1914.82,UPI,Books
2024-05-06,Entertainment,144.82,Cash,Books
2024-05-06,Entertainment,687.46,UPI,OTT subscription
2024-05-08,Food,127.49,Cash,Dinner outside
2024-05-15,Rent,3855.75,Debit Card,Monthly rent
2024-05-15,Utilities,1133.26,Cash,Internet bill
2024-05-15,Transport,359.19,UPI,Petrol
2024-05-16,Shopping,512.35,Debit Card,Footwear
2024-05-16,Utilities,1127.67,Debit Card,Mobile recharge
2024-05-21,Rent,4880.25,Credit Card,PG charges
2024-05-23,Healthcare,855.9,UPI,Medicine
2024-05-24,Entertainment,602.33,UPI,Concert
2024-05-26,Entertainment,400.92,Credit Card,Gaming
2024-05-27,Utilities,273.86,Credit Card,Water bill
2024-05-29,Healthcare,652.46,Debit Card,Vitamins
2024-05-30,Entertainment,383.08,UPI,Concert
2024-06-05,Entertainment,256.05,UPI,Gaming
2024-06-05,Healthcare,384.28,UPI,Gym membership
2024-06-07,Education,1315.46,Credit Card,Books
2024-06-08,Food,367.17,Cash,Groceries
2024-06-09,Food,106.07,Debit Card,Coffee
2024-06-09,Transport,296.31,Credit Card,Metro card
2024-06-11,Rent,5115.68,Debit Card,PG charges
